item_id,title,cluster_hint,week_idx,week_start,units_actual,promo_flag,oos_flag
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,17,2026-02-02,17,1,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,18,2026-02-09,0,0,1
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,19,2026-02-16,0,0,1
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,20,2026-02-23,9,0,1
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,21,2026-03-02,0,1,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,22,2026-03-09,96,0,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,23,2026-03-16,0,0,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,24,2026-03-23,6,0,0
P1001,EverNorth Everyday Neutral Road Running Shoe - Olive,RUN_NEUTRAL,25,2026-03-30,7,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,0,2025-12-01,69,1,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,1,2025-12-08,72,0,1
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,2,2025-12-15,68,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,3,2025-12-22,76,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,4,2025-12-29,72,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,5,2026-01-05,78,1,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,6,2026-01-12,207,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,7,2026-01-19,173,0,1
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,8,2026-01-26,111,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,9,2026-02-02,91,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,10,2026-02-09,79,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,11,2026-02-16,76,1,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,12,2026-02-23,0,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,13,2026-03-02,186,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,14,2026-03-09,92,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,15,2026-03-16,2,1,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,16,2026-03-23,67,1,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,17,2026-03-30,8,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,18,2026-04-06,20,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,19,2026-04-13,34,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,20,2026-04-20,64,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,21,2026-04-27,74,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,22,2026-05-04,139,1,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,23,2026-05-11,0,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,24,2026-05-18,0,0,0
P1002,Trail&Town Everyday Neutral Road Running Shoe - Teal,RUN_NEUTRAL,25,2026-05-25,16,0,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,0,2025-11-03,51,0,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,1,2025-11-10,41,1,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,2,2025-11-17,50,0,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,3,2025-11-24,103,0,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,4,2025-12-01,129,0,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,5,2025-12-08,56,0,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,6,2025-12-15,70,0,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,7,2025-12-22,83,1,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,8,2025-12-29,60,1,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,9,2026-01-05,91,1,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,10,2026-01-12,60,0,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,11,2026-01-19,55,1,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,12,2026-01-26,83,0,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,13,2026-02-02,42,1,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,14,2026-02-09,44,0,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,15,2026-02-16,30,1,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,16,2026-02-23,73,1,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,17,2026-03-02,0,1,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,18,2026-03-09,6,0,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,19,2026-03-16,0,0,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,20,2026-03-23,44,1,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,21,2026-03-30,43,1,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,22,2026-04-06,0,0,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,23,2026-04-13,50,0,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,24,2026-04-20,0,0,0
P1003,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,RUN_NEUTRAL,25,2026-04-27,0,0,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,0,2025-05-05,25,0,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,1,2025-05-12,67,0,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,2,2025-05-19,66,0,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,3,2025-05-26,298,1,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,4,2025-06-02,140,1,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,5,2025-06-09,167,0,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,6,2025-06-16,217,1,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,7,2025-06-23,34,0,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,8,2025-06-30,65,0,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,9,2025-07-07,0,0,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,10,2025-07-14,36,0,1
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,11,2025-07-21,137,1,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,12,2025-07-28,9,0,1
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,13,2025-08-04,8,0,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,14,2025-08-11,38,0,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,15,2025-08-18,51,0,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,16,2025-08-25,10,0,1
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,17,2025-09-01,10,0,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,18,2025-09-08,49,0,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,19,2025-09-15,39,0,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,20,2025-09-22,2,0,1
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,21,2025-09-29,24,1,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,22,2025-10-06,14,0,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,23,2025-10-13,23,0,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,24,2025-10-20,92,0,0
P1004,AstraRun Everyday Neutral Road Running Shoe - Stone,RUN_NEUTRAL,25,2025-10-27,0,1,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,0,2025-10-20,0,1,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,1,2025-10-27,36,0,1
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,2,2025-11-03,0,0,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,3,2025-11-10,86,0,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,4,2025-11-17,35,0,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,5,2025-11-24,55,0,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,6,2025-12-01,59,0,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,7,2025-12-08,130,0,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,8,2025-12-15,62,0,1
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,9,2025-12-22,62,0,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,10,2025-12-29,72,0,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,11,2026-01-05,85,0,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,12,2026-01-12,76,0,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,13,2026-01-19,55,0,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,14,2026-01-26,111,0,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,15,2026-02-02,124,1,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,16,2026-02-09,72,1,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,17,2026-02-16,117,1,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,18,2026-02-23,64,1,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,19,2026-03-02,29,0,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,20,2026-03-09,29,0,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,21,2026-03-16,1,1,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,22,2026-03-23,0,1,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,23,2026-03-30,22,0,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,24,2026-04-06,0,0,0
P1005,EverNorth Trail Waterproof Hiking Boot - Stone,HIK_WATERPROOF,25,2026-04-13,0,0,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,0,2025-08-25,9,1,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,1,2025-09-01,39,1,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,2,2025-09-08,13,0,1
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,3,2025-09-15,26,0,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,4,2025-09-22,0,0,1
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,5,2025-09-29,41,0,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,6,2025-10-06,25,0,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,7,2025-10-13,60,0,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,8,2025-10-20,70,0,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,9,2025-10-27,74,0,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,10,2025-11-03,113,1,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,11,2025-11-10,100,0,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,12,2025-11-17,31,0,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,13,2025-11-24,75,0,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,14,2025-12-01,92,1,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,15,2025-12-08,47,1,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,16,2025-12-15,67,0,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,17,2025-12-22,22,0,1
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,18,2025-12-29,52,0,1
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,19,2026-01-05,50,0,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,20,2026-01-12,7,0,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,21,2026-01-19,89,1,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,22,2026-01-26,7,0,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,23,2026-02-02,52,0,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,24,2026-02-09,0,1,0
P1006,UrbanPeak Pro Waterproof Hiking Boot - Navy,HIK_WATERPROOF,25,2026-02-16,9,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,0,2025-01-06,20,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,1,2025-01-13,0,1,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,2,2025-01-20,0,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,3,2025-01-27,2,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,4,2025-02-03,92,1,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,5,2025-02-10,38,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,6,2025-02-17,53,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,7,2025-02-24,130,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,8,2025-03-03,122,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,9,2025-03-10,111,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,10,2025-03-17,107,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,11,2025-03-24,50,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,12,2025-03-31,124,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,13,2025-04-07,113,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,14,2025-04-14,71,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,15,2025-04-21,29,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,16,2025-04-28,79,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,17,2025-05-05,0,1,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,18,2025-05-12,8,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,19,2025-05-19,3,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,20,2025-05-26,16,1,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,21,2025-06-02,58,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,22,2025-06-09,125,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,23,2025-06-16,86,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,24,2025-06-23,45,0,0
P1007,AstraRun Everyday Waterproof Hiking Boot - Blush,HIK_WATERPROOF,25,2025-06-30,31,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,0,2025-05-05,0,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,1,2025-05-12,43,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,2,2025-05-19,177,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,3,2025-05-26,59,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,4,2025-06-02,30,0,1
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,5,2025-06-09,51,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,6,2025-06-16,110,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,7,2025-06-23,68,0,1
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,8,2025-06-30,70,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,9,2025-07-07,74,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,10,2025-07-14,46,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,11,2025-07-21,20,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,12,2025-07-28,168,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,13,2025-08-04,40,0,1
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,14,2025-08-11,69,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,15,2025-08-18,104,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,16,2025-08-25,105,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,17,2025-09-01,24,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,18,2025-09-08,38,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,19,2025-09-15,0,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,20,2025-09-22,16,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,21,2025-09-29,59,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,22,2025-10-06,18,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,23,2025-10-13,0,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,24,2025-10-20,0,0,0
P1008,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,HIK_WATERPROOF,25,2025-10-27,0,0,0
P1009,UrbanPeak Signature Waterproof Hiking Boot - Blush,HIK_WATERPROOF,0,2025-02-17,64,0,0
P1009,UrbanPeak Signature Waterproof Hiking Boot - Blush,HIK_WATERPROOF,1,2025-02-24,28,1,0
P1009,UrbanPeak Signature Waterproof Hiking Boot - Blush,HIK_WATERPROOF,2,2025-03-03,24,0,0
P1009,UrbanPeak Signature Waterproof Hiking Boot - Blush,HIK_WATERPROOF,3,2025-03-10,0,0,0
P1009,UrbanPeak Signature Waterproof Hiking Boot - Blush,HIK_WATERPROOF,4,2025-03-17,38,0,0
P1009,UrbanPeak Signature Waterproof Hiking Boot - Blush,HIK_WATERPROOF,5,2025-03-24,0,0,0
